Vorgangstyp,Vorgangsschlüssel:,Vorgangs ID,Übergeordnete ID,Zusammenfassung,Bearbeiter,Autor,Priorität,Status,Lösung,Erstellt,Aktualisiert,Fälligkeitsdatum,Komponente(n),Benötigte Zeit,Benötigte Zeit in Stunden
Bug,PROJ-86,11613,,Rudelbildung der Ameisen unkontrolliert,jasmin-stern,jasmin-stern,Medium,Offen,,03/Jul/17 1:31 PM,03/Jul/17 4:17 PM,,Programmierung,,"0,00"
Bug,PROJ-85,11612,,Docks spawnen nur in Eckmodulen,jasmin-stern,jasmin-stern,Medium,Offen,,03/Jul/17 1:31 PM,03/Jul/17 4:17 PM,,Programmierung,,"0,00"
Bug,PROJ-84,11611,,Gesamtenergieanzeige Docks,jasmin-stern,jasmin-stern,Medium,Offen,,03/Jul/17 1:30 PM,03/Jul/17 4:17 PM,,Programmierung,,"0,00"
Bug,PROJ-83,11610,,Grenze für Skillpunkte,jasmin-stern,jasmin-stern,Medium,Offen,,03/Jul/17 1:30 PM,03/Jul/17 4:17 PM,,Programmierung,,"0,00"
Aufgabe,PROJ-81,11608,,Pause,frankam,frankam,Medium,Geschlossen,Fertig,03/Jul/17 1:11 PM,03/Jul/17 4:16 PM,,Programmierung,7200,"2,00"
Aufgabe,PROJ-80,11607,,Docks,frankam,frankam,Medium,Geschlossen,Fertig,03/Jul/17 1:08 PM,03/Jul/17 4:15 PM,,Programmierung,54000,"15,00"
Unteraufgabe,PROJ-79,11606,10700,Statemaschine üerbarbeitet,jasmin-stern,jasmin-stern,Medium,Geschlossen,Fertig,03/Jul/17 12:30 PM,03/Jul/17 4:15 PM,,Programmierung,18000,"5,00"
Unteraufgabe,PROJ-78,11605,10217,Karten drehen lassen rausnehmen,jasmin-stern,jasmin-stern,Medium,Geschlossen,Fertig,03/Jul/17 12:27 PM,03/Jul/17 4:15 PM,,Programmierung,6000,"1,67"
Unteraufgabe,PROJ-77,11604,10217,Karte drehen lassen,jasmin-stern,jasmin-stern,Medium,Geschlossen,Fertig,03/Jul/17 12:26 PM,03/Jul/17 4:14 PM,,Programmierung,18000,"5,00"
Unteraufgabe,PROJ-76,11603,10205,Spielersteuerung überarbeiten,jasmin-stern,jasmin-stern,Medium,Geschlossen,Fertig,03/Jul/17 12:24 PM,03/Jul/17 4:14 PM,,Programmierung,7200,"2,00"
