Vorgangstyp,Vorgangsschlüssel:,Vorgangs ID,Übergeordnete ID,Zusammenfassung,Bearbeiter,Autor,Priorität,Status,Lösung,Erstellt,Aktualisiert,Fälligkeitsdatum,Benötigte Zeit,Benötigte Zeit in Stunden
Unteraufgabe,PROJ-82,11609,10208,Texturiern der Module,frankam,frankam,Medium,Geschlossen,Fertig,03/Jul/17 1:14 PM,03/Jul/17 1:20 PM,,72000,"20,00"
Aufgabe,PROJ-81,11608,,Pause,frankam,frankam,Medium,Geschlossen,Fertig,03/Jul/17 1:11 PM,03/Jul/17 1:19 PM,,7200,"2,00"
Aufgabe,PROJ-80,11607,,Docks,frankam,frankam,Medium,Geschlossen,Fertig,03/Jul/17 1:08 PM,03/Jul/17 1:19 PM,,54000,"15,00"
Story,PROJ-72,11500,,Skillsystem,frankam,frankam,Medium,Geschlossen,Fertig,21/Jun/17 5:12 PM,03/Jul/17 1:26 PM,,46800,"13,00"
Aufgabe,PROJ-55,10900,,Playtest,frankam,jasmin-stern,Medium,Geschlossen,Fertig,17/Mai/17 10:51 PM,03/Jul/17 1:27 PM,,64800,"18,00"
Aufgabe,PROJ-48,10700,,Gegner sterben lassen,frankam,frankam,Medium,Geschlossen,Fertig,27/Apr/17 4:41 PM,03/Jul/17 1:23 PM,,19800,"5,50"
Unteraufgabe,PROJ-46,10600,10208,Level exportieren nach Unity,frankam,jasmin-stern,Medium,Geschlossen,Fertig,18/Apr/17 3:43 PM,14/Jun/17 11:10 AM,,241200,"67,00"
Aufgabe,PROJ-36,10220,,Tutorial erstellen,frankam,jasmin-stern,Medium,Offen,,04/Apr/17 3:16 PM,14/Jun/17 11:24 AM,,,"0,00"
Aufgabe,PROJ-32,10216,,Energieanzeige programmieren,frankam,jasmin-stern,Medium,Geschlossen,Fertig,04/Apr/17 3:15 PM,03/Jul/17 1:21 PM,,3600,"1,00"
Aufgabe,PROJ-31,10215,,Spieler schießen lassen,frankam,jasmin-stern,Medium,Geschlossen,Fertig,04/Apr/17 3:14 PM,14/Jun/17 11:10 AM,,32400,"9,00"
Aufgabe,PROJ-29,10213,,Energiekapseln einsammeln können,frankam,jasmin-stern,Medium,Geschlossen,Fertig,04/Apr/17 3:12 PM,14/Jun/17 11:10 AM,,18000,"5,00"
Aufgabe,PROJ-25,10209,,GUI einbauen,frankam,jasmin-stern,Medium,Geschlossen,Fertig,04/Apr/17 3:08 PM,03/Jul/17 1:22 PM,,,"0,00"
Aufgabe,PROJ-21,10205,,Spielersteuerung,frankam,jasmin-stern,High,Geschlossen,Fertig,04/Apr/17 3:04 PM,03/Jul/17 12:25 PM,,23400,"6,50"
Aufgabe,PROJ-20,10204,,Gegner einbauen,frankam,jasmin-stern,Medium,Geschlossen,Fertig,04/Apr/17 3:03 PM,19/Apr/17 5:22 PM,,18000,"5,00"
Story,PROJ-19,10203,,Lichtansichten für den Spieler einbauen,frankam,jasmin-stern,Medium,Geschlossen,Fertig,04/Apr/17 3:00 PM,19/Apr/17 5:22 PM,,14400,"4,00"
Aufgabe,PROJ-12,10108,,Licht des Spielers im Raum erleuchten lassen,frankam,jasmin-stern,High,Geschlossen,Fertig,30/Mär/17 11:27 AM,07/Apr/17 1:55 PM,,8400,"2,33"
Aufgabe,PROJ-5,10101,,Meeting Zeiten Frank,frankam,jasmin-stern,Lowest,Geschlossen,Fertig,30/Mär/17 10:34 AM,03/Jul/17 1:25 PM,,202800,"56,33"
Aufgabe,PROJ-3,10002,,Erstellen einer Szene,frankam,jasmin-stern,Highest,Geschlossen,Fertig,29/Mär/17 7:23 PM,07/Apr/17 1:55 PM,,18000,"5,00"
Aufgabe,PROJ-2,10001,,Git Projekt anlegen,frankam,frankam,Highest,Geschlossen,Fertig,29/Mär/17 12:20 PM,07/Apr/17 1:55 PM,,,"0,00"
,,,,,,,,,,,,,844800,"234,67"
